countriesAndTerritories,cases,deaths,"Countries, territories and areas","Number of deaths due to tuberculosis, excluding HIV",Current health expenditure,Healthy life expectancy at birth
United_Kingdom,1849403,64170,United Kingdom of Great Britain and Northern Ireland,230,11.98,70.1
United_Republic_of_Tanzania,509,21,United Republic of Tanzania,20000,3.75,58.5
United_States_of_America,16256754,299177,United States of America,580,18.82,66.1
Uruguay,9708,92,Uruguay,66,9.15,67.5
Uzbekistan,75094,612,Uzbekistan,1100,6.75,64.7
Vanuatu,1,0,Vanuatu,17,3.97,57.8
Venezuela,107177,949,Venezuela (Bolivarian Republic of),680,3.82,64.4
Vietnam,1397,35,Viet Nam,8600,4.68,65.3
Yemen,2083,606,Yemen,3100,6.51,57.5
Zambia,18274,367,Zambia,6100,5.62,54.4
Zimbabwe,11246,307,Zimbabwe,1800,3.43,53.1
